ARG_Name,MGE_Name,PatientCount,Label
ASMA,gene:plasmid:123301,1,PreFMT Only
ASMA,gene:plasmid:123360,1,PreFMT Only
ASMA,gene:plasmid:123361,1,PreFMT Only
ASMA,gene:plasmid:123362,1,PreFMT Only
ASMA,gene:plasmid:123363,1,PreFMT Only
ASMA,gene:plasmid:149414,2,PreFMT Only
ASMA,gene:plasmid:149415,2,PreFMT Only
ASMA,gene:plasmid:157415,1,PreFMT Only
ASMA,gene:plasmid:21818,1,PreFMT Only
ASMA,gene:plasmid:22236,1,PreFMT Only
ASMA,gene:plasmid:93439,1,PreFMT Only
ASMA,gene:plasmid:93454,1,PreFMT Only
ASMA,gene:proph:176915,1,PreFMT Only
ASMA,gene:proph:176925,1,PreFMT Only
ASMA,gene:proph:183581,1,PreFMT Only
ASMA,gene:vir:1321,1,PreFMT Only
ASMA,gene:vir:2040,1,PreFMT Only
ASMA,gene:vir:5718,1,PreFMT Only
ASR,gene:proph:159027,1,PreFMT Only
ASR,gene:proph:159060,1,PreFMT Only
ASR,gene:proph:159065,1,PreFMT Only
ASR,gene:proph:159066,1,PreFMT Only
ASR,gene:proph:159067,1,PreFMT Only
ASR,gene:proph:159069,1,PreFMT Only
ASR,gene:proph:159070,1,PreFMT Only
ASR,gene:proph:159071,1,PreFMT Only
ASR,gene:proph:159074,1,PreFMT Only
ASR,gene:proph:163918,1,PreFMT Only
ASR,gene:proph:163926,1,PreFMT Only
ASR,gene:proph:163928,1,PreFMT Only
ASR,gene:proph:163929,1,PreFMT Only
ASR,gene:proph:163930,1,PreFMT Only
ASR,gene:proph:163931,1,PreFMT Only
ASR,gene:proph:163934,1,PreFMT Only
ASR,gene:proph:163935,1,PreFMT Only
ASR,gene:proph:163937,1,PreFMT Only
ASR,gene:proph:163938,1,PreFMT Only
ASR,gene:proph:163939,1,PreFMT Only
ASR,gene:proph:163941,1,PreFMT Only
ASR,gene:proph:163944,1,PreFMT Only
ASR,gene:proph:163947,1,PreFMT Only
ASR,gene:proph:169106,1,PreFMT Only
ASR,gene:proph:172443,1,PreFMT Only
ASR,gene:proph:172550,1,PreFMT Only
ASR,gene:proph:176710,1,PreFMT Only
ASR,gene:proph:176724,1,PreFMT Only
ASR,gene:proph:176725,1,PreFMT Only
ASR,gene:proph:176727,1,PreFMT Only
ASR,gene:proph:176728,1,PreFMT Only
ASR,gene:proph:176729,1,PreFMT Only
ASR,gene:proph:176730,1,PreFMT Only
ASR,gene:proph:176731,1,PreFMT Only
ASR,gene:proph:176732,1,PreFMT Only
ASR,gene:proph:176733,1,PreFMT Only
ASR,gene:proph:177474,1,PreFMT Only
ASR,gene:proph:177498,1,PreFMT Only
ASR,gene:proph:179464,1,PreFMT Only
ASR,gene:proph:181133,1,PreFMT Only
ASR,gene:proph:181137,1,PreFMT Only
ASR,gene:proph:181140,1,PreFMT Only
ASR,gene:proph:181300,1,PreFMT Only
ASR,gene:vir:3486,1,PreFMT Only
ASR,gene:vir:79544,1,PreFMT Only
BACA,gene:plasmid:117725,1,PreFMT Only
BACA,gene:plasmid:123168,2,PreFMT Only
BACA,gene:plasmid:123169,1,PreFMT Only
BACA,gene:plasmid:123170,1,PreFMT Only
BACA,gene:plasmid:123171,1,PreFMT Only
BACA,gene:plasmid:123173,2,PreFMT Only
BACA,gene:plasmid:123174,2,PreFMT Only
BACA,gene:plasmid:123175,2,PreFMT Only
BACA,gene:plasmid:123257,1,PreFMT Only
BACA,gene:plasmid:142025,1,PreFMT Only
BACA,gene:plasmid:20019,1,PreFMT Only
BACA,gene:plasmid:20020,1,PreFMT Only
BACA,gene:plasmid:20022,1,PreFMT Only
BACA,gene:proph:183015,1,PreFMT Only
BCR,gene:plasmid:21818,5,PreFMT Only
BHSA,gene:proph:172517,4,PreFMT Only
BHSA,gene:proph:172518,5,PreFMT Only
BHSA,gene:proph:172519,5,PreFMT Only
BHSA,gene:proph:172520,4,PreFMT Only
BHSA,gene:proph:172521,5,PreFMT Only
BHSA,gene:proph:172522,5,PreFMT Only
BHSA,gene:proph:172523,5,PreFMT Only
BHSA,gene:proph:172524,5,PreFMT Only
BLA1,gene:plasmid:122880,1,PreFMT Only
BLA1,gene:plasmid:122881,1,PreFMT Only
BLA1,gene:plasmid:122882,1,PreFMT Only
BLA1,gene:plasmid:123057,1,PreFMT Only
BLAZ,gene:plasmid:28884,1,PreFMT Only
CADX,gene:plasmid:17163,1,PreFMT Only
CADX,gene:proph:175648,1,PreFMT Only
CADX,gene:proph:175649,1,PreFMT Only
CADX,gene:proph:175652,1,PreFMT Only
CDEA,gene:proph:160736,1,PreFMT Only
CEPA,gene:plasmid:133389,1,PreFMT Only
CFX,gene:plasmid:141426,1,PreFMT Only
CHAA,gene:proph:172517,1,PreFMT Only
CHAA,gene:proph:172518,1,PreFMT Only
CHAA,gene:proph:172519,1,PreFMT Only
CHAA,gene:proph:172520,1,PreFMT Only
CHAA,gene:proph:172521,1,PreFMT Only
CHAA,gene:proph:172522,1,PreFMT Only
CHAA,gene:proph:172523,1,PreFMT Only
CHAA,gene:proph:172524,1,PreFMT Only
CMY,gene:plasmid:109060,1,PreFMT Only
CMY,gene:plasmid:109061,1,PreFMT Only
CMY,gene:plasmid:109062,1,PreFMT Only
CMY,gene:plasmid:109177,1,PreFMT Only
CMY,gene:plasmid:136206,1,PreFMT Only
CMY,gene:plasmid:136208,1,PreFMT Only
CMY,gene:plasmid:136210,1,PreFMT Only
CMY,gene:plasmid:136244,1,PreFMT Only
CMY,gene:plasmid:136246,1,PreFMT Only
CMY,gene:plasmid:136253,1,PreFMT Only
CMY,gene:plasmid:83774,1,PreFMT Only
CMY,gene:plasmid:83906,1,PreFMT Only
CMY,gene:plasmid:91057,1,PreFMT Only
CMY,gene:plasmid:91150,1,PreFMT Only
CMY,gene:plasmid:91194,1,PreFMT Only
CMY,gene:plasmid:91550,1,PreFMT Only
CMY,gene:plasmid:91563,1,PreFMT Only
CMY,gene:plasmid:91571,1,PreFMT Only
CMY,gene:plasmid:91573,1,PreFMT Only
CMY,gene:plasmid:91594,1,PreFMT Only
CMY,gene:plasmid:91612,1,PreFMT Only
CMY,gene:plasmid:91619,1,PreFMT Only
CMY,gene:plasmid:91621,1,PreFMT Only
CMY,gene:plasmid:91625,1,PreFMT Only
CMY,gene:plasmid:91626,1,PreFMT Only
CMY,gene:plasmid:91644,1,PreFMT Only
CMY,gene:plasmid:91679,1,PreFMT Only
CMY,gene:plasmid:91685,1,PreFMT Only
CMY,gene:plasmid:91693,1,PreFMT Only
CMY,gene:plasmid:91710,1,PreFMT Only
CMY,gene:plasmid:91714,1,PreFMT Only
CMY,gene:plasmid:91716,1,PreFMT Only
CMY,gene:proph:169080,1,PreFMT Only
CMY,gene:proph:183015,1,PreFMT Only
CMY,gene:proph:183019,1,PreFMT Only
COMR,gene:proph:163918,1,PreFMT Only
COMR,gene:proph:163934,1,PreFMT Only
COMR,gene:proph:163935,1,PreFMT Only
COMR,gene:proph:169100,1,PreFMT Only
COMR,gene:proph:169106,1,PreFMT Only
COMR,gene:proph:169112,1,PreFMT Only
COMR,gene:proph:172517,1,PreFMT Only
COMR,gene:proph:172518,2,PreFMT Only
COMR,gene:proph:172519,2,PreFMT Only
COMR,gene:proph:172520,2,PreFMT Only
COMR,gene:proph:172521,2,PreFMT Only
COMR,gene:proph:172522,3,PreFMT Only
COMR,gene:proph:172523,3,PreFMT Only
COMR,gene:proph:172524,3,PreFMT Only
COMR,gene:proph:172551,1,PreFMT Only
COMR,gene:proph:172610,1,PreFMT Only
COMR,gene:proph:173955,1,PreFMT Only
COMR,gene:proph:176080,1,PreFMT Only
COMR,gene:proph:176783,1,PreFMT Only
COMR,gene:proph:176786,1,PreFMT Only
COMR,gene:proph:176787,1,PreFMT Only
COMR,gene:proph:176788,1,PreFMT Only
COMR,gene:proph:176789,1,PreFMT Only
COMR,gene:proph:176791,1,PreFMT Only
COMR,gene:proph:176804,1,PreFMT Only
COMR,gene:proph:176805,1,PreFMT Only
COMR,gene:proph:176809,1,PreFMT Only
COMR,gene:proph:177498,1,PreFMT Only
COMR,gene:proph:177501,1,PreFMT Only
COMR,gene:proph:177510,1,PreFMT Only
COMR,gene:proph:177584,1,PreFMT Only
COMR,gene:proph:177585,1,PreFMT Only
COMR,gene:proph:177619,1,PreFMT Only
COMR,gene:proph:177622,1,PreFMT Only
COMR,gene:proph:177629,1,PreFMT Only
COMR,gene:proph:177630,1,PreFMT Only
COMR,gene:proph:177660,1,PreFMT Only
COMR,gene:proph:181175,1,PreFMT Only
COMR,gene:proph:181182,1,PreFMT Only
COMR,gene:proph:181209,1,PreFMT Only
COMR,gene:vir:104372,1,PreFMT Only
COMR,gene:vir:104416,1,PreFMT Only
COMR,gene:vir:108417,1,PreFMT Only
COMR,gene:vir:108421,1,PreFMT Only
COMR,gene:vir:8777,1,PreFMT Only
COPA,gene:plasmid:148055,1,PreFMT Only
COPA,gene:plasmid:21909,1,PreFMT Only
COPA,gene:plasmid:24081,1,PreFMT Only
COPA,gene:plasmid:88436,1,PreFMT Only
COPA,gene:plasmid:88437,3,PreFMT Only
COPA,gene:proph:166433,1,PreFMT Only
COPA,gene:proph:170577,1,PreFMT Only
COPA,gene:proph:170590,1,PreFMT Only
COPA,gene:proph:170892,3,PreFMT Only
COPA,gene:proph:173116,1,PreFMT Only
COPA,gene:proph:173723,2,PreFMT Only
COPA,gene:proph:175139,1,PreFMT Only
COPA,gene:proph:175261,1,PreFMT Only
CORA,gene:plasmid:123244,2,PreFMT Only
CORA,gene:plasmid:123245,2,PreFMT Only
CORA,gene:plasmid:123246,2,PreFMT Only
CORA,gene:plasmid:123247,2,PreFMT Only
CORA,gene:plasmid:123248,2,PreFMT Only
CORA,gene:plasmid:123249,2,PreFMT Only
CORA,gene:plasmid:123250,2,PreFMT Only
